Ano;Semana;Municipio;Casos
2021;SEMANA 01;260600 GARANHUNS;1
2021;SEMANA 02;260600 GARANHUNS;1
2021;SEMANA 03;260600 GARANHUNS;0
2021;SEMANA 04;260600 GARANHUNS;1
2021;SEMANA 05;260600 GARANHUNS;0
2021;SEMANA 06;260600 GARANHUNS;0
2021;SEMANA 07;260600 GARANHUNS;0
2021;SEMANA 08;260600 GARANHUNS;0
2021;SEMANA 09;260600 GARANHUNS;1
2021;SEMANA 10;260600 GARANHUNS;1
2021;SEMANA 11;260600 GARANHUNS;0
2021;SEMANA 12;260600 GARANHUNS;1
2021;SEMANA 13;260600 GARANHUNS;0
2021;SEMANA 14;260600 GARANHUNS;0
2021;SEMANA 15;260600 GARANHUNS;3
2021;SEMANA 16;260600 GARANHUNS;4
2021;SEMANA 17;260600 GARANHUNS;0
2021;SEMANA 18;260600 GARANHUNS;2
2021;SEMANA 19;260600 GARANHUNS;1
2021;SEMANA 20;260600 GARANHUNS;3
2021;SEMANA 21;260600 GARANHUNS;2
2021;SEMANA 22;260600 GARANHUNS;0
2021;SEMANA 23;260600 GARANHUNS;1
2021;SEMANA 24;260600 GARANHUNS;4
2021;SEMANA 25;260600 GARANHUNS;3
2021;SEMANA 26;260600 GARANHUNS;2
2021;SEMANA 27;260600 GARANHUNS;1
2021;SEMANA 28;260600 GARANHUNS;2
2021;SEMANA 29;260600 GARANHUNS;4
2021;SEMANA 30;260600 GARANHUNS;3
2021;SEMANA 31;260600 GARANHUNS;1
2021;SEMANA 32;260600 GARANHUNS;1
2021;SEMANA 33;260600 GARANHUNS;5
2021;SEMANA 34;260600 GARANHUNS;3
2021;SEMANA 35;260600 GARANHUNS;1
2021;SEMANA 36;260600 GARANHUNS;2
2021;SEMANA 37;260600 GARANHUNS;2
2021;SEMANA 38;260600 GARANHUNS;3
2021;SEMANA 39;260600 GARANHUNS;2
2021;SEMANA 40;260600 GARANHUNS;0
2021;SEMANA 41;260600 GARANHUNS;0
2021;SEMANA 42;260600 GARANHUNS;1
2021;SEMANA 43;260600 GARANHUNS;1
2021;SEMANA 44;260600 GARANHUNS;1
2021;SEMANA 45;260600 GARANHUNS;0
2021;SEMANA 46;260600 GARANHUNS;1
2021;SEMANA 47;260600 GARANHUNS;2
2021;SEMANA 48;260600 GARANHUNS;5
2021;SEMANA 49;260600 GARANHUNS;3
2021;SEMANA 50;260600 GARANHUNS;6
2021;SEMANA 51;260600 GARANHUNS;2
2021;SEMANA 52;260600 GARANHUNS;1
2022;SEMANA 01;260600 GARANHUNS;2
2022;SEMANA 02;260600 GARANHUNS;1
2022;SEMANA 03;260600 GARANHUNS;0
2022;SEMANA 04;260600 GARANHUNS;0
2022;SEMANA 05;260600 GARANHUNS;2
2022;SEMANA 06;260600 GARANHUNS;1
2022;SEMANA 07;260600 GARANHUNS;0
2022;SEMANA 08;260600 GARANHUNS;0
2022;SEMANA 09;260600 GARANHUNS;1
2022;SEMANA 10;260600 GARANHUNS;3
2022;SEMANA 11;260600 GARANHUNS;0
2022;SEMANA 12;260600 GARANHUNS;3
2022;SEMANA 13;260600 GARANHUNS;1
2022;SEMANA 14;260600 GARANHUNS;5
2022;SEMANA 15;260600 GARANHUNS;0
2022;SEMANA 16;260600 GARANHUNS;10
2022;SEMANA 17;260600 GARANHUNS;21
2022;SEMANA 18;260600 GARANHUNS;18
2022;SEMANA 19;260600 GARANHUNS;8
2022;SEMANA 20;260600 GARANHUNS;32
2022;SEMANA 21;260600 GARANHUNS;23
2022;SEMANA 22;260600 GARANHUNS;27
