Município de notificação;Em Branco/ign;Semana 01;Semana 02;Semana 03;Semana 04;Semana 05;Semana 06;Semana 07;Semana 08;Semana 09;Semana 10;Semana 11;Semana 12;Semana 13;Semana 14;Semana 15;Semana 16;Semana 17;Semana 18;Semana 19;Semana 20;Semana 21;Semana 22;Semana 23;Semana 24;Semana 25;Semana 26;Semana 27;Semana 28;Semana 29;Semana 30;Semana 31;Semana 32;Semana 33;Semana 34;Semana 35;Semana 36;Semana 37;Semana 38;Semana 39;Semana 40;Semana 41;Semana 42;Semana 43;Semana 44;Semana 45;Semana 46;Semana 47;Semana 48;Semana 49;Semana 50;Semana 51;Semana 52;Semana 53;Total
260005 ABREU E LIMA;-;-;3;2;-;2;-;-;-;-;-;-;1;1;-;1;-;3;2;-;2;2;3;1;3;1;3;2;-;1;-;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;38
260010 AFOGADOS DA INGAZEIRA;-;-;-;-;1;-;1;-;1;2;2;1;2;1;1;-;-;-;4;4;9;1;2;-;2;-;1;-;1;3;-;1;-;-;-;-;1;1;3;-;1;1;2;-;1;5;5;2;3;-;2;-;1;1;69
260020 AFRANIO;-;-;-;-;-;-;1;-;2;-;-;-;1;1;-;1;-;1;-;3;3;5;2;5;8;5;6;10;12;6;2;2;2;1;-;4;5;3;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;95
260030 AGRESTINA;-;-;-;2;-;-;-;-;-;1;1;-;2;-;1;1;-;-;-;-;-;1;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;14
260040 AGUA PRETA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;5;18;1;7;1;-;2;-;-;-;-;-;-;3;-;-;1;1;-;-;-;-;-;1;-;-;1;-;-;-;47
260050 AGUAS BELAS;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;7
260060 ALAGOINHA;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260080 ALTINHO;-;-;1;1;2;3;2;4;3;3;1;-;-;1;-;-;-;1;2;-;1;2;4;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
260090 AMARAJI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260100 ANGELIM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260105 ARACOIABA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260110 ARARIPINA;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
260120 ARCOVERDE;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;2;-;-;2;-;1;1;4;1;-;-;-;1;-;2;1;-;-;1;-;-;-;-;2;-;-;-;-;1;-;-;-;1;1;1;-;-;1;-;27
260140 BARREIROS;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
260150 BELEM DE MARIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260160 BELEM DE SAO FRANCISCO;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;9
