ESTIMATIVAS DA POPULAÇÃO RESIDENTE NOS MUNICÍPIOS BRASILEIROS COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2024,,,,,
(UF),NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
(RO),Alta Floresta D'Oeste,"22,853"
(RO),Ariquemes,"108,573"
(RO),Cabixi,"5,690"
(RO),Cacoal,"97,637"
(RO),Cerejeiras,"16,975"
(RO),Colorado do Oeste,"16,588"
(RO),Corumbiara,"8,001"
(RO),Costa Marques,"13,522"
(RO),Espigão D'Oeste,"32,717"
(RO),Guajará-Mirim,"43,553"
(RO),Jaru,"55,583"
(RO),Ji-Paraná,"139,359"
(RO),Machadinho D'Oeste,"34,063"
(RO),Nova Brasilândia D'Oeste,"16,504"
(RO),Ouro Preto do Oeste,"38,681"
(RO),Pimenta Bueno,"39,053"
(RO),Porto Velho,"514,873"
(RO),Presidente Médici,"20,518"
(RO),Rio Crespo,"3,753"
(RO),Rolim de Moura,"62,559"
(RO),Santa Luzia D'Oeste,"7,877"
(RO),Vilhena,"108,528"
(RO),São Miguel do Guaporé,"22,267"
(RO),Nova Mamoré,"28,496"
(RO),Alvorada D'Oeste,"13,837"
(RO),Alto Alegre dos Parecis,"12,263"
(RO),Alto Paraíso,"17,463"
(RO),Buritis,"30,729"
(RO),Novo Horizonte do Oeste,"8,056"
(RO),Cacaulândia,"4,345"
(RO),Campo Novo de Rondônia,"9,225"
(RO),Candeias do Jamari,"24,163"
(RO),Castanheiras,"3,456"
(RO),Chupinguaia,"10,129"
(RO),Cujubim,"15,883"
(RO),Governador Jorge Teixeira,"8,420"
(RO),Itapuã do Oeste,"9,209"
(RO),Ministro Andreazza,"6,657"
(RO),Mirante da Serra,"9,740"
(RO),Monte Negro,"12,241"
(RO),Nova União,"6,577"
(RO),Parecis,"4,390"
(RO),Pimenteiras do Oeste,"2,311"
(RO),Primavera de Rondônia,"3,279"
(RO),São Felipe D'Oeste,"5,605"
(RO),São Francisco do Guaporé,"17,511"
(RO),Seringueiras,"12,954"
(RO),Teixeirópolis,"4,536"
(RO),Theobroma,"8,540"
(RO),Urupá,"11,377"
(RO),Vale do Anari,"8,265"
(RO),Vale do Paraíso,"6,843"
(AC),Acrelândia,"14,657"
(AC),Assis Brasil,"8,573"
(AC),Brasiléia,"27,841"
(AC),Bujari,"13,766"
(AC),Capixaba,"10,922"
(AC),Cruzeiro do Sul,"98,382"
(AC),Epitaciolândia,"19,739"
(AC),Feijó,"37,644"
(AC),Jordão,"9,787"
(AC),Mâncio Lima,"20,329"
(AC),Manoel Urbano,"12,776"
(AC),Marechal Thaumaturgo,"17,951"
(AC),Plácido de Castro,"17,127"
(AC),Porto Walter,"11,275"
(AC),Rio Branco,"387,852"
(AC),Rodrigues Alves,"15,537"
(AC),Santa Rosa do Purus,"7,143"
(AC),Senador Guiomard,"22,352"
(AC),Sena Madureira,"43,916"
(AC),Tarauacá,"46,517"
(AC),Xapuri,"19,090"
(AC),Porto Acre,"17,455"
(AM),Alvarães,"16,670"
(AM),Amaturá,"11,411"
(AM),Anamã,"10,318"
(AM),Anori,"17,932"
(AM),Apuí,"21,735"
(AM),Atalaia do Norte,"15,892"
(AM),Autazes,"45,328"
(AM),Barcelos,"18,626"
(AM),Barreirinha,"33,436"
(AM),Benjamin Constant,"40,509"
(AM),Beruri,"22,136"
(AM),Boa Vista do Ramos,"25,769"
(AM),Boca do Acre,"38,246"
(AM),Borba,"34,879"
(AM),Caapiranga,"14,310"
(AM),Canutama,"17,885"
(AM),Carauari,"30,892"
(AM),Careiro,"32,442"
(AM),Careiro da Várzea,"19,809"
(AM),Coari,"73,820"
(AM),Codajás,"24,451"
(AM),Eirunepé,"35,534"
(AM),Envira,"17,920"
(AM),Fonte Boa,"27,875"
(AM),Guajará,"14,332"
(AM),Humaitá,"62,312"
(AM),Ipixuna,"25,458"
(AM),Iranduba,"67,114"
(AM),Itacoatiara,"112,520"
(AM),Itamarati,"11,730"
(AM),Itapiranga,"10,805"
(AM),Japurá,"9,397"
(AM),Juruá,"11,152"
(AM),Jutaí,"27,656"
(AM),Lábrea,"48,927"
(AM),Manacapuru,"110,691"
(AM),Manaquiri,"17,009"
(AM),Manaus,"2,279,686"
(AM),Manicoré,"57,758"
(AM),Maraã,"15,843"
(AM),Maués,"65,714"
(AM),Nhamundá,"21,106"
(AM),Nova Olinda do Norte,"28,267"
(AM),Novo Airão,"16,467"
(AM),Novo Aripuanã,"24,987"
(AM),Parintins,"101,956"
(AM),Pauini,"20,232"
(AM),Presidente Figueiredo,"33,004"
(AM),Rio Preto da Eva,"25,723"
(AM),Santa Isabel do Rio Negro,"14,176"
(AM),Santo Antônio do Içá,"30,448"
(AM),São Gabriel da Cachoeira,"56,406"
(AM),São Paulo de Olivença,"35,196"
(AM),São Sebastião do Uatumã,"12,247"
(AM),Silves,"12,404"
(AM),Tabatinga,"72,283"
(AM),Tapauá,"20,501"
(AM),Tefé,"79,278"
(AM),Tonantins,"20,224"
(AM),Uarini,"15,278"
(AM),Urucará,"19,505"
(AM),Urucurituba,"25,592"
(RR),Amajari,"15,583"
(RR),Alto Alegre,"23,049"
(RR),Boa Vista,"470,169"
(RR),Bonfim,"15,222"
(RR),Cantá,"20,552"
(RR),Caracaraí,"22,443"
(RR),Caroebe,"11,708"
(RR),Iracema,"10,778"
(RR),Mucajaí,"19,619"
(RR),Normandia,"15,744"
(RR),Pacaraima,"22,104"
(RR),Rorainópolis,"36,747"
(RR),São João da Baliza,"9,727"
(RR),São Luiz,"7,777"
(RR),Uiramutã,"15,571"
(PA),Abaetetuba,"170,999"
(PA),Abel Figueiredo,"6,302"
